Scenario,Allocation,MaxInstability
"All, Noise",shapley,-0.014463530777476308
"All, Noise",VCG,-0.2351980056700818
"All, Noise",VCG_budget_balanced,-0.04299434053581308
"All, Noise",gately_daily,-0.07276181094897538
"All, Noise",gately_interval,-0.038736852506929154
"All, Noise",full_cost,-0.0002145842553318289
"All, Noise",equal_share,5.973238869181543
"All, Scenario",shapley,8.137579388910638
"All, Scenario",VCG,-0.3185572981507103
"All, Scenario",VCG_budget_balanced,-0.01855533974003265
"All, Scenario",gately_daily,-0.027259849690608462
"All, Scenario",gately_interval,-0.015915996292051204
"All, Scenario",full_cost,-1.1368683772161603e-13
"All, Scenario",equal_share,42.40869269010068
"Nucleolus, Noise",shapley,-0.4579360445932821
"Nucleolus, Noise",VCG,-3.5462786095877648
"Nucleolus, Noise",VCG_budget_balanced,-0.6269501563693325
"Nucleolus, Noise",gately_daily,-1.1216185038376807
"Nucleolus, Noise",gately_interval,-0.5758426778032231
"Nucleolus, Noise",full_cost,-0.04038257303437831
"Nucleolus, Noise",nucleolus,-1.530356085993219
"Nucleolus, Noise",equal_share,4.0227515908347335
"Nucleolus, Scenario",shapley,7.900783845722856
"Nucleolus, Scenario",VCG,-5.877746287668961
"Nucleolus, Scenario",VCG_budget_balanced,-0.2970504528834681
"Nucleolus, Scenario",gately_daily,-0.5171766425578426
"Nucleolus, Scenario",gately_interval,-0.2717712422874001
"Nucleolus, Scenario",full_cost,-0.044068833867527246
"Nucleolus, Scenario",nucleolus,-0.24692241474804177
"Nucleolus, Scenario",equal_share,40.939203789841144
