Scenario,Allocation,Client,Value,AverageRelativeImbalance
"All, Noise",shapley,A,0.6037449900080532,0.5091179639324961
"All, Noise",shapley,F,0.44328764815794824,0.5091179639324961
"All, Noise",shapley,G,0.6050825422888322,0.5091179639324961
"All, Noise",shapley,H,0.14276767196341053,0.5091179639324961
"All, Noise",shapley,I,0.28299403227250197,0.5091179639324961
"All, Noise",shapley,J,0.07260816202095097,0.5091179639324961
"All, Noise",shapley,K,0.14514572285763166,0.5091179639324961
"All, Noise",shapley,L,0.13655237777912663,0.5091179639324961
"All, Noise",shapley,N,0.09103201297274947,0.5091179639324961
"All, Noise",shapley,O,0.09516070061010483,0.5091179639324961
"All, Noise",shapley,Q,0.21775118215310135,0.5091179639324961
"All, Noise",shapley,S,0.2330012331474417,0.5091179639324961
"All, Noise",shapley,T,0.07622682697012431,0.5091179639324961
"All, Noise",shapley,U,0.12688387111810184,0.5091179639324961
"All, Noise",shapley,V,0.05659613387565466,0.5091179639324961
"All, Noise",shapley,W,0.04517717311559227,0.5091179639324961
"All, Noise",shapley,Y,0.12602533751773512,0.5091179639324961
"All, Noise",VCG,A,0.3477770254666086,0.5091179639324961
"All, Noise",VCG,F,0.22643390269674926,0.5091179639324961
"All, Noise",VCG,G,0.35035696760558377,0.5091179639324961
"All, Noise",VCG,H,-0.007654966676932016,0.5091179639324961
"All, Noise",VCG,I,0.08603132921435501,0.5091179639324961
"All, Noise",VCG,J,-0.03697970762557425,0.5091179639324961
"All, Noise",VCG,K,0.007330641547677168,0.5091179639324961
"All, Noise",VCG,L,-0.0074305735584504545,0.5091179639324961
"All, Noise",VCG,N,0.044944792334920616,0.5091179639324961
"All, Noise",VCG,O,0.00790592264675347,0.5091179639324961
"All, Noise",VCG,Q,0.05948114264369826,0.5091179639324961
"All, Noise",VCG,S,0.054491658628199144,0.5091179639324961
"All, Noise",VCG,T,-0.03521368471613116,0.5091179639324961
"All, Noise",VCG,U,-0.007544955057679771,0.5091179639324961
"All, Noise",VCG,V,-0.016858292816743763,0.5091179639324961
"All, Noise",VCG,W,-0.04923259226434678,0.5091179639324961
"All, Noise",VCG,Y,-0.0012886765135218692,0.5091179639324961
"All, Noise",VCG_budget_balanced,A,0.5963823514641707,0.5091179639324961
"All, Noise",VCG_budget_balanced,F,0.43581000201546494,0.5091179639324961
"All, Noise",VCG_budget_balanced,G,0.5947315751671826,0.5091179639324961
"All, Noise",VCG_budget_balanced,H,0.18385274662859238,0.5091179639324961
"All, Noise",VCG_budget_balanced,I,0.30157679104514673,0.5091179639324961
"All, Noise",VCG_budget_balanced,J,0.16239705488409215,0.5091179639324961
"All, Noise",VCG_budget_balanced,K,0.19967770207055113,0.5091179639324961
"All, Noise",VCG_budget_balanced,L,0.19031950225439495,0.5091179639324961
"All, Noise",VCG_budget_balanced,N,0.20308755103950824,0.5091179639324961
"All, Noise",VCG_budget_balanced,O,0.18486380996612792,0.5091179639324961
"All, Noise",VCG_budget_balanced,Q,0.2520461827934074,0.5091179639324961
"All, Noise",VCG_budget_balanced,S,0.2575779888272094,0.5091179639324961
"All, Noise",VCG_budget_balanced,T,0.16079877868225917,0.5091179639324961
"All, Noise",VCG_budget_balanced,U,0.1870657915980749,0.5091179639324961
"All, Noise",VCG_budget_balanced,V,0.15421349340056634,0.5091179639324961
"All, Noise",VCG_budget_balanced,W,0.14250842686892637,0.5091179639324961
"All, Noise",VCG_budget_balanced,Y,0.19158771730961988,0.5091179639324961
"All, Noise",gately_daily,A,0.5612193700674601,0.5091179639324961
"All, Noise",gately_daily,F,0.4712311261793089,0.5091179639324961
"All, Noise",gately_daily,G,0.5627217169642345,0.5091179639324961
"All, Noise",gately_daily,H,0.3086772739762314,0.5091179639324961
"All, Noise",gately_daily,I,0.37326685668566856,0.5091179639324961
"All, Noise",gately_daily,J,0.2857768867327399,0.5091179639324961
"All, Noise",gately_daily,K,0.31840716305938055,0.5091179639324961
"All, Noise",gately_daily,L,0.306347332241179,0.5091179639324961
"All, Noise",gately_daily,N,0.3456352041791791,0.5091179639324961
"All, Noise",gately_daily,O,0.3188679320789842,0.5091179639324961
