HourUTC;HourDK;PriceArea;ForecastType;ForecastDayAhead;ForecastIntraday;Forecast5Hour;Forecast1Hour;ForecastCurrent;TimestampUTC;TimestampDK
2025-03-03 23:00:00;2025-03-04 00:00:00;DK1;Solar;0,000000;4,450833;0,000000;1,350833;4,450833;2025-03-03 22:58:26;2025-03-03 23:58:26
2025-03-04 00:00:00;2025-03-04 01:00:00;DK1;Solar;0,001250;5,728333;0,001250;1,160417;5,728333;2025-03-03 23:58:26;2025-03-04 00:58:26
2025-03-04 01:00:00;2025-03-04 02:00:00;DK1;Solar;0,016667;4,421250;0,016667;1,506667;4,421250;2025-03-04 00:58:26;2025-03-04 01:58:26
2025-03-04 02:00:00;2025-03-04 03:00:00;DK1;Solar;0,002083;3,614167;0,002083;1,150000;3,614167;2025-03-04 01:58:26;2025-03-04 02:58:26
2025-03-04 03:00:00;2025-03-04 04:00:00;DK1;Solar;0,000000;5,125000;0,000000;0,940833;5,125000;2025-03-04 02:58:25;2025-03-04 03:58:25
2025-03-04 04:00:00;2025-03-04 05:00:00;DK1;Solar;0,008750;5,375000;0,008750;1,343333;5,375000;2025-03-04 03:58:51;2025-03-04 04:58:51
2025-03-04 05:00:00;2025-03-04 06:00:00;DK1;Solar;0,540417;5,632916;0,540417;1,937500;5,632916;2025-03-04 04:58:51;2025-03-04 05:58:51
2025-03-04 06:00:00;2025-03-04 07:00:00;DK1;Solar;22,962500;28,702499;23,393749;25,877501;28,702499;2025-03-04 05:58:51;2025-03-04 06:58:51
2025-03-04 07:00:00;2025-03-04 08:00:00;DK1;Solar;202,753326;225,953751;224,282913;225,096664;225,953751;2025-03-04 06:58:51;2025-03-04 07:58:51
2025-03-04 08:00:00;2025-03-04 09:00:00;DK1;Solar;391,482910;410,454163;423,018341;410,454163;343,101654;2025-03-04 07:58:51;2025-03-04 08:58:51
2025-03-04 09:00:00;2025-03-04 10:00:00;DK1;Solar;536,015015;546,945007;573,560425;529,535828;411,444153;2025-03-04 08:58:50;2025-03-04 09:58:50
2025-03-04 10:00:00;2025-03-04 11:00:00;DK1;Solar;618,904602;615,265808;640,370850;555,585815;541,227112;2025-03-04 09:58:51;2025-03-04 10:58:51
2025-03-04 11:00:00;2025-03-04 12:00:00;DK1;Solar;637,224609;628,511230;628,511230;597,616638;634,642517;2025-03-04 10:58:51;2025-03-04 11:58:51
2025-03-04 12:00:00;2025-03-04 13:00:00;DK1;Solar;607,701660;635,580017;635,580017;599,294556;757,174561;2025-03-04 11:58:51;2025-03-04 12:58:51
2025-03-04 13:00:00;2025-03-04 14:00:00;DK1;Solar;509,238342;550,017090;550,017090;590,403320;682,730408;2025-03-04 12:58:53;2025-03-04 13:58:53
2025-03-04 14:00:00;2025-03-04 15:00:00;DK1;Solar;393,953735;415,660004;394,850006;435,861237;449,614990;2025-03-04 13:58:53;2025-03-04 14:58:53
2025-03-04 15:00:00;2025-03-04 16:00:00;DK1;Solar;223,680832;236,539993;234,442917;242,505005;234,419586;2025-03-04 14:58:51;2025-03-04 15:58:51
2025-03-04 16:00:00;2025-03-04 17:00:00;DK1;Solar;45,814583;48,959583;48,907917;51,552502;45,914165;2025-03-04 15:58:51;2025-03-04 16:58:51
2025-03-04 17:00:00;2025-03-04 18:00:00;DK1;Solar;1,495417;1,495417;1,495417;0,435417;23,051666;2025-03-04 16:58:51;2025-03-04 17:58:51
2025-03-04 18:00:00;2025-03-04 19:00:00;DK1;Solar;0,000000;0,000000;0,000000;5,482500;8,362917;2025-03-04 17:58:51;2025-03-04 18:58:51
2025-03-04 19:00:00;2025-03-04 20:00:00;DK1;Solar;0,000000;0,000000;0,000000;2,177917;10,253750;2025-03-04 18:58:52;2025-03-04 19:58:52
2025-03-04 20:00:00;2025-03-04 21:00:00;DK1;Solar;0,000000;0,000000;0,000000;2,669583;10,210834;2025-03-04 19:58:52;2025-03-04 20:58:52
2025-03-04 21:00:00;2025-03-04 22:00:00;DK1;Solar;0,000000;0,000000;0,000000;2,659167;10,191667;2025-03-04 20:58:52;2025-03-04 21:58:52
2025-03-04 22:00:00;2025-03-04 23:00:00;DK1;Solar;0,000000;0,000000;0,000000;2,653750;10,210834;2025-03-04 21:58:52;2025-03-04 22:58:52
2025-03-04 23:00:00;2025-03-05 00:00:00;DK1;Solar;0,000000;10,410417;0,000000;2,659167;10,410417;2025-03-04 22:58:51;2025-03-04 23:58:51
2025-03-05 00:00:00;2025-03-05 01:00:00;DK1;Solar;0,000000;10,290833;0,000000;2,710417;10,290833;2025-03-04 23:58:51;2025-03-05 00:58:51
2025-03-05 01:00:00;2025-03-05 02:00:00;DK1;Solar;0,000000;10,322500;0,000000;2,680417;10,322500;2025-03-05 00:58:51;2025-03-05 01:58:51
2025-03-05 02:00:00;2025-03-05 03:00:00;DK1;Solar;0,000000;10,315416;0,000000;2,689583;10,315416;2025-03-05 01:58:52;2025-03-05 02:58:52
2025-03-05 03:00:00;2025-03-05 04:00:00;DK1;Solar;0,000000;10,361250;0,000000;2,685417;10,361250;2025-03-05 02:58:51;2025-03-05 03:58:51
2025-03-05 04:00:00;2025-03-05 05:00:00;DK1;Solar;0,000000;10,302083;0,000000;2,699167;10,302083;2025-03-05 03:59:22;2025-03-05 04:59:22
2025-03-05 05:00:00;2025-03-05 06:00:00;DK1;Solar;1,096667;10,759583;0,561667;3,230833;10,759583;2025-03-05 04:59:21;2025-03-05 05:59:21
2025-03-05 06:00:00;2025-03-05 07:00:00;DK1;Solar;43,550415;39,200001;31,696667;33,910000;39,200001;2025-03-05 05:59:21;2025-03-05 06:59:21
2025-03-05 07:00:00;2025-03-05 08:00:00;DK1;Solar;299,735840;242,341248;253,483337;249,904160;242,341248;2025-03-05 06:59:21;2025-03-05 07:59:21
2025-03-05 08:00:00;2025-03-05 09:00:00;DK1;Solar;550,089600;445,797913;452,440430;445,797913;364,422089;2025-03-05 07:59:21;2025-03-05 08:59:21
2025-03-05 09:00:00;2025-03-05 10:00:00;DK1;Solar;678,586243;555,861267;556,850830;517,952087;484,245819;2025-03-05 08:59:21;2025-03-05 09:59:21
2025-03-05 10:00:00;2025-03-05 11:00:00;DK1;Solar;701,525391;581,166687;583,608765;550,719604;619,176697;2025-03-05 09:59:21;2025-03-05 10:59:21
2025-03-05 11:00:00;2025-03-05 12:00:00;DK1;Solar;501,180420;354,203735;354,203735;348,934998;499,150848;2025-03-05 10:59:21;2025-03-05 11:59:21
2025-03-05 12:00:00;2025-03-05 13:00:00;DK1;Solar;501,731262;373,250427;373,250427;399,775848;438,607910;2025-03-05 11:59:22;2025-03-05 12:59:22
