HourUTC;HourDK;MunicipalityNo;SolarMWh;OffshoreWindLt100MW_MWh;OffshoreWindGe100MW_MWh;OnshoreWindMWh;ThermalPowerMWh
2025-09-13 03:00:00;2025-09-13 05:00:00;706;0,000000;;;0,000000;
2025-09-13 02:00:00;2025-09-13 04:00:00;706;0,000000;;;0,000000;
2025-09-13 01:00:00;2025-09-13 03:00:00;706;0,000000;;;0,000000;
2025-09-13 00:00:00;2025-09-13 02:00:00;706;0,000000;;;0,000000;
2025-09-12 23:00:00;2025-09-13 01:00:00;706;0,000000;;;0,000000;
2025-09-12 22:00:00;2025-09-13 00:00:00;706;0,000000;;;0,000000;
2025-09-12 21:00:00;2025-09-12 23:00:00;706;0,000000;;;4,711824;0,274130
2025-09-12 20:00:00;2025-09-12 22:00:00;706;0,000000;;;5,955455;0,274040
2025-09-12 19:00:00;2025-09-12 21:00:00;706;0,000000;;;4,539758;0,274160
2025-09-12 18:00:00;2025-09-12 20:00:00;706;0,000000;;;4,318874;0,241780
2025-09-12 17:00:00;2025-09-12 19:00:00;706;0,336000;;;5,229804;0,199440
2025-09-12 16:00:00;2025-09-12 18:00:00;706;7,129000;;;8,208072;0,196670
2025-09-12 15:00:00;2025-09-12 17:00:00;706;22,732000;;;7,149656;0,149880
2025-09-12 14:00:00;2025-09-12 16:00:00;706;32,351000;;;4,314552;0,148900
2025-09-12 13:00:00;2025-09-12 15:00:00;706;18,582000;;;2,536071;0,149130
2025-09-12 12:00:00;2025-09-12 14:00:00;706;14,342000;;;3,533091;0,150080
2025-09-12 11:00:00;2025-09-12 13:00:00;706;35,166000;;;8,757545;0,286850
2025-09-12 10:00:00;2025-09-12 12:00:00;706;69,362000;;;9,924930;0,298590
2025-09-12 09:00:00;2025-09-12 11:00:00;706;55,902000;;;8,995662;0,298760
2025-09-12 08:00:00;2025-09-12 10:00:00;706;53,126000;;;9,396052;0,299020
2025-09-12 07:00:00;2025-09-12 09:00:00;706;38,656000;;;8,412853;0,298980
2025-09-12 06:00:00;2025-09-12 08:00:00;706;14,993000;;;9,472616;0,299040
2025-09-12 05:00:00;2025-09-12 07:00:00;706;3,461000;;;8,808664;0,293010
2025-09-12 04:00:00;2025-09-12 06:00:00;706;0,000000;;;7,363637;0,249300
2025-09-12 03:00:00;2025-09-12 05:00:00;706;0,000000;;;6,345906;0,249340
2025-09-12 02:00:00;2025-09-12 04:00:00;706;0,000000;;;6,383910;0,249150
2025-09-12 01:00:00;2025-09-12 03:00:00;706;0,000000;;;4,970599;0,249310
2025-09-12 00:00:00;2025-09-12 02:00:00;706;0,000000;;;4,415930;0,249480
2025-09-11 23:00:00;2025-09-12 01:00:00;706;0,000000;;;4,554408;0,249260
2025-09-11 22:00:00;2025-09-12 00:00:00;706;0,000000;;;3,952381;0,249580
2025-09-11 21:00:00;2025-09-11 23:00:00;706;0,000000;;;3,727227;0,298810
2025-09-11 20:00:00;2025-09-11 22:00:00;706;0,000000;;;2,836828;0,298830
2025-09-11 19:00:00;2025-09-11 21:00:00;706;0,000000;;;2,630196;0,299120
2025-09-11 18:00:00;2025-09-11 20:00:00;706;0,000000;;;3,267142;0,299364
2025-09-11 17:00:00;2025-09-11 19:00:00;706;0,647000;;;3,072689;0,299105
2025-09-11 16:00:00;2025-09-11 18:00:00;706;6,473000;;;3,207503;0,298912
2025-09-11 15:00:00;2025-09-11 17:00:00;706;13,257000;;;5,034917;0,297313
2025-09-11 14:00:00;2025-09-11 16:00:00;706;30,389000;;;7,401260;0,079408
2025-09-11 13:00:00;2025-09-11 15:00:00;706;32,358000;;;9,148771;0,000284
2025-09-11 12:00:00;2025-09-11 14:00:00;706;64,756000;;;5,280238;0,001271
2025-09-11 11:00:00;2025-09-11 13:00:00;706;75,189000;;;4,817063;0,000989
2025-09-11 10:00:00;2025-09-11 12:00:00;706;74,977000;;;2,817941;0,024507
2025-09-11 09:00:00;2025-09-11 11:00:00;706;65,905000;;;2,446292;0,150066
2025-09-11 08:00:00;2025-09-11 10:00:00;706;55,174000;;;1,447447;0,235650
2025-09-11 07:00:00;2025-09-11 09:00:00;706;34,436000;;;0,799269;0,274240
2025-09-11 06:00:00;2025-09-11 08:00:00;706;16,203000;;;0,423009;0,273980
2025-09-11 05:00:00;2025-09-11 07:00:00;706;2,234000;;;0,452789;0,274310
2025-09-11 04:00:00;2025-09-11 06:00:00;706;0,000000;;;0,324024;0,274422
2025-09-11 03:00:00;2025-09-11 05:00:00;706;0,000000;;;0,133434;0,274140
2025-09-11 02:00:00;2025-09-11 04:00:00;706;0,000000;;;0,064825;0,274070
2025-09-11 01:00:00;2025-09-11 03:00:00;706;0,000000;;;0,054227;0,274220
2025-09-11 00:00:00;2025-09-11 02:00:00;706;0,000000;;;0,230983;0,274120
2025-09-10 23:00:00;2025-09-11 01:00:00;706;0,000000;;;0,464496;0,274070
2025-09-10 22:00:00;2025-09-11 00:00:00;706;0,000000;;;0,665584;0,274090
2025-09-10 21:00:00;2025-09-10 23:00:00;706;0,000000;;;1,447240;0,281080
